CUST_ID,CUST_PRODUCT_CNT,CUST_DOLLER_FLAG,CUST_INTERNATIONAL_GOLD_FLAG,CUST_INTERNATIONAL_SIL_FLAG,CUST_INTERNATIONAL_DIAMOND_FLAG,CUST_STAD_PLATINUM_FLAG,TOP_CARD_LEVEL,CUST_VALUE_CLASS,DEP_SA_FGCR_ACCOUNT_CNT,FUND_FLAG,QSAB_FLAG,OCN,FINA_BUY_NOFIX_AVGCNT_zj,FINA_BUY_THREE_AVGAMT_zj,FINA_BUY_THREE_AVGCNT_zj,FINA_MONTH_AVG_BAL_AVG_zj
1000042139,6,1,0,1,0,0,2,4,2,0,1,0,0,-893333.3333,-2,0.043240674000000014
1000042393,0,0,0,0,0,0,6,1,0,0,0,8,0,0.0,0,0.0
1000042421,1,0,0,0,0,0,6,0,0,0,0,0,0,0.0,0,0.0
1000042549,3,0,0,0,0,0,6,1,0,1,0,0,0,0.0,0,0.0
1000043148,3,0,0,0,0,0,6,1,0,0,0,8,0,0.0,0,0.0
1000043253,10,1,0,0,1,0,7,4,2,1,0,3,-2,0.0,0,0.032311714
1000043414,0,0,0,0,0,0,6,1,0,0,0,0,0,0.0,0,0.0
1000043489,0,0,0,0,0,0,7,2,0,0,0,3,0,0.0,0,0.0
1000043600,5,1,1,1,0,0,1,0,4,0,1,8,0,0.0,0,0.0
1000043715,0,0,0,0,0,0,6,2,0,0,0,4,0,0.0,0,0.0
1000044235,11,0,0,0,0,1,7,3,3,1,1,4,-4,0.0,0,0.0
1000044281,7,0,0,0,0,0,6,3,0,0,0,0,0,0.0,0,0.0
1000044584,8,1,0,1,0,0,2,2,2,0,1,0,0,-80000.0,-2,0.010810168
1000044686,7,0,0,0,0,0,6,1,0,0,0,4,0,0.0,0,0.0
1000044949,0,0,0,0,0,0,7,1,1,0,0,0,0,0.0,0,0.0
1000045091,0,0,0,0,0,0,7,0,0,0,0,0,0,0.0,0,0.0
1000045236,0,0,0,0,0,0,7,0,0,0,0,0,0,0.0,0,0.0
1000045593,0,0,0,0,0,0,6,0,0,0,0,0,0,0.0,0,0.0
1000045704,4,1,0,1,0,0,2,0,2,0,0,0,0,0.0,0,0.0
1000046000,3,0,0,0,0,0,6,1,0,0,0,8,0,0.0,0,0.0
